排名,电影名称,详情,评分,评价人数,短评
89,喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...                            1999 / 中国香港 / 喜剧 剧情 爱情,8.8,,
90,杀人回忆,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...                            2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚,8.9,,
91,致命ID,导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...                            2003 / 美国 / 剧情 悬疑 惊悚,8.9,,
92,春光乍泄,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,9.0,,
93,一一,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...                            2000 / 中国台湾 日本 / 剧情 爱情 家庭,9.1,,
94,海豚湾,导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...                            2009 / 美国 / 纪录片,9.3,376535,
95,美国往事,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...                            1984 / 美国 意大利 / 犯罪 剧情,9.1,,
96,加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...                            2003 / 美国 / 动作 冒险 奇幻,8.8,,
97,红辣椒,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...                            2006 / 日本 / 动画 悬疑 科幻 惊悚,9.0,546307,
98,七宗罪,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚,8.8,,
99,唐伯虎点秋香,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...                            1993 / 中国香港 / 喜剧 爱情 古装,8.7,,
100,还有明天,导演: 宝拉·柯特莱西 Paola Cortellesi   主演: 宝拉·柯特莱西 Paola Corte...                            2023 / 意大利 / 剧情 喜剧 历史,9.4,,
101,狩猎,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...                            2012 / 丹麦 瑞典 / 剧情,9.1,450814,
102,幽灵公主,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...                            1997 / 日本 / 动画 奇幻 冒险,8.9,,
